id,channel_acq,num_past_purch,spent_last_purchase,weeks_since_visit,browsing_minutes,shopping_cart
909,1,1,58.99,2,22,0
910,1,0,0,2,10,0
911,1,0,0,7,14,0
912,5,1,51.99,1,11,0
913,4,0,0,3,24,0
914,1,1,62.99,4,1,1
915,2,1,145.98,1,8,0
916,1,1,47.99,4,4,1
917,1,3,181.47,0,10,0
918,1,0,0,1,12,0
919,2,3,133.98,5,8,1
920,1,3,130.98,2,4,1
921,1,2,51.49,3,19,0
922,3,1,58.99,7,10,0
923,1,3,143.98,1,26,0
924,2,1,157.98,3,16,0
925,3,0,0,7,12,0
926,4,5,60.99,3,8,0
927,1,7,57.99,1,21,0
928,3,3,48.99,5,16,0
929,2,5,145.47,6,13,1
930,1,0,0,3,17,0
931,2,2,95.99,3,15,0
932,1,0,0,2,13,0
933,3,0,0,4,5,1
934,3,0,0,6,15,0
935,1,7,121.98,3,12,0
936,1,0,0,0,25,0
937,1,1,48.49,0,15,1
938,5,1,48.49,6,18,1
939,1,1,67.99,2,15,0
940,5,2,57.99,0,13,0
941,4,10,70.49,6,13,1
942,2,0,0,2,16,1
943,1,0,0,5,11,0
944,1,1,172.47,0,10,0
945,3,0,0,5,12,1
946,3,0,0,5,15,0
947,5,0,0,6,14,1
948,2,0,0,5,1,1
949,1,1,61.99,1,7,1
950,1,2,51.99,5,2,0
951,3,3,50.99,2,18,0
952,1,2,144.98,4,16,0
953,2,5,62.99,4,6,0
954,1,2,56.99,2,21,0
955,1,3,99.98,5,22,0
956,4,1,45.99,2,3,0
957,3,0,0,7,15,0
958,1,0,0,6,3,0
959,1,0,0,1,17,0
960,3,3,95.98,0,19,1
961,4,2,62.49,4,20,0
962,1,0,0,0,22,0
963,2,7,79.99,4,6,0
964,3,3,154.98,1,17,0
965,3,3,55.99,1,16,0
966,2,8,60.49,5,5,0
967,1,2,61.99,5,6,0
968,2,4,58.99,4,17,0
969,1,0,0,6,13,0
970,2,5,39.99,7,17,0
971,1,1,56.49,5,8,0
972,3,6,57.99,4,13,0
973,2,0,0,1,22,0
974,3,0,0,2,17,0
975,5,1,53.49,4,7,0
976,1,0,0,1,22,0
977,3,1,103.98,7,22,0
978,1,0,0,2,4,0
979,1,3,59.99,0,20,0
980,1,3,61.99,2,4,0
981,2,0,0,5,2,1
982,1,1,69.99,0,1,0
983,1,0,0,7,10,1
984,1,2,80.99,2,4,0
985,4,1,147.98,6,10,0
986,1,0,0,1,20,0
987,3,1,66.99,4,8,1
988,4,2,175.47,0,8,0
989,3,1,63.99,2,1,1
990,2,1,48.49,5,7,0
991,1,3,62.99,6,3,1
992,4,1,59.99,2,16,1
993,1,1,121.98,0,8,0
994,3,7,63.49,4,17,0
995,1,3,133.98,4,4,1
996,3,3,51.99,4,15,1
997,4,1,116.98,3,17,0
998,1,19,116.98,2,27,1
999,3,7,133.98,6,2,0
1000,4,3,59.99,5,3,0
1001,3,10,70.49,7,25,0
1002,1,1,66.49,0,5,1
1003,1,0,0,7,14,1
1004,1,0,0,1,12,0
1005,5,4,117.98,4,12,0
1006,3,0,0,7,10,1
1007,2,2,141.98,2,1,0
1008,3,0,0,7,27,0
1009,1,2,61.49,7,8,0
1010,2,0,0,0,3,0
1011,3,1,65.99,1,22,0
1012,3,7,54.99,4,14,0
1013,1,3,53.99,1,1,1
1014,2,1,182.97,4,21,0
1015,2,1,52.49,7,19,0
1016,1,0,0,0,11,0
1017,1,1,68.49,4,1,0
1018,1,10,61.99,5,23,0
1019,1,4,115.98,1,16,1
1020,2,6,54.99,4,16,1
1021,2,1,69.99,1,9,0
1022,1,1,77.99,1,7,1
1023,1,1,179.97,2,18,0
1024,1,3,231.96,0,6,0
1025,3,2,73.99,6,17,0
1026,1,0,0,7,17,0
1027,2,0,0,6,16,0
1028,3,5,54.99,0,16,0
1029,3,2,60.99,5,6,1
1030,5,2,39.99,5,17,0
1031,2,0,0,1,4,1
1032,1,5,71.99,7,9,0
1033,2,6,31.99,5,13,0
1034,2,2,74.99,5,10,0
1035,2,5,55.99,2,19,0
1036,2,0,0,1,15,0
1037,1,0,0,5,14,0
1038,2,5,57.99,7,23,0
1039,2,2,74.99,6,5,0
1040,1,2,52.99,1,12,1
1041,2,6,50.49,0,11,0
1042,1,2,151.98,5,15,0
1043,1,7,56.49,1,21,0
1044,1,8,51.49,2,5,0
1045,1,0,0,5,15,0
1046,3,15,209.97,4,5,0
1047,3,3,49.99,7,13,0
1048,1,0,0,1,8,0
1049,4,0,0,1,3,1
1050,2,0,0,5,17,0
1051,3,1,64.99,1,18,1
1052,1,7,63.49,1,23,1
1053,2,6,56.99,1,16,0
1054,2,0,0,3,2,1
1055,4,0,0,1,1,0
1056,1,3,46.99,6,21,0
1057,2,1,196.47,0,19,0
1058,2,0,0,5,11,1
1059,1,2,68.99,4,12,0
1060,1,1,51.99,0,14,1
1061,2,2,116.98,1,21,1
1062,3,7,67.49,2,6,0
1063,5,0,0,2,16,1
1064,3,0,0,6,14,1
1065,1,3,62.99,4,3,0
1066,1,1,56.99,4,23,0
1067,1,3,52.99,5,10,1
1068,1,0,0,1,21,0
1069,1,1,32.99,1,8,0
1070,2,3,81.99,0,3,1
1071,3,0,0,5,8,0
1072,1,3,40.49,5,19,0
1073,2,2,138.98,6,10,0
1074,1,1,72.99,1,21,0
1075,3,1,223.96,7,5,0
1076,1,1,151.98,4,10,0
1077,3,4,112.98,0,16,0
1078,3,0,0,0,9,0
1079,1,2,61.99,0,10,1
1080,3,0,0,5,24,0
1081,3,0,0,7,16,0
1082,3,0,0,1,19,0
1083,3,0,0,7,20,0
1084,1,5,112.98,1,15,0
1085,1,0,0,2,6,1
1086,1,0,0,7,1,0
1087,1,2,153.98,7,29,0
1088,2,9,78.98,7,13,0
1089,2,2,72.99,5,10,0
1090,3,5,63.99,4,13,1
1091,1,7,70.99,4,17,0
1092,1,1,136.98,5,13,0
1093,2,5,56.99,1,14,1
1094,1,1,56.99,4,11,1
1095,1,1,66.99,2,23,0
1096,1,2,70.99,1,2,0
1097,1,0,0,0,22,0
1098,3,1,42.99,5,15,0
1099,1,0,0,0,1,0
1100,2,2,59.99,5,12,0
1101,1,0,0,2,7,1
1102,3,2,52.99,2,16,0
1103,3,1,67.99,5,17,0
1104,3,3,70.99,3,12,1
1105,1,2,50.99,7,12,1
1106,4,2,48.49,1,20,0
1107,2,1,56.99,0,16,0
1108,3,0,0,2,11,0
1109,3,3,64.49,0,19,0
1110,1,0,0,2,15,0
1111,3,0,0,5,14,0
1112,2,3,184.47,4,12,0
1113,3,0,0,3,27,0
1114,1,3,60.99,2,17,0
1115,1,1,53.99,4,6,1
1116,2,9,62.99,2,13,1
1117,1,0,0,3,15,0
1118,1,18,64.99,6,22,0
1119,3,0,0,0,23,1
1120,3,0,0,0,14,1
1121,1,4,58.99,2,22,0
1122,1,0,0,4,14,0
1123,3,9,70.49,5,16,0
1124,3,2,53.99,2,19,0
1125,3,1,75.99,2,9,0
1126,3,1,59.99,4,23,0
1127,3,3,153.98,6,16,0
1128,1,1,61.99,5,23,0
1129,1,0,0,5,14,0
1130,2,5,171.98,4,7,0
1131,1,3,59.99,7,12,0
1132,1,1,188.97,1,21,0
1133,2,3,130.98,2,20,1
1134,3,1,37.99,0,18,0
1135,3,1,59.99,0,4,1
1136,5,0,0,5,14,1
1137,2,0,0,5,5,0
1138,1,1,66.99,6,6,1
1139,3,5,82.99,3,2,0
1140,1,5,73.99,4,10,0
1141,1,2,70.99,3,22,0
1142,3,2,137.98,1,20,0
1143,2,1,105.98,7,26,0
1144,2,0,0,1,20,0
1145,1,1,66.99,5,17,1
1146,2,0,0,4,21,0
1147,3,1,40.99,3,17,1
1148,3,4,69.99,2,14,0
1149,1,0,0,0,9,0
1150,1,2,68.99,6,6,0
1151,2,0,0,0,8,0
1152,2,3,82.49,2,3,1
1153,2,1,61.99,4,7,0
1154,5,0,0,4,10,0
1155,1,4,81.99,2,4,1
1156,3,0,0,4,8,0
1157,4,0,0,7,9,0
1158,3,1,173.98,1,22,0
1159,3,1,59.49,6,18,0
1160,3,0,0,4,24,1
1161,3,0,0,0,12,0
1162,1,0,0,4,25,0
1163,3,0,0,4,17,0
1164,3,2,48.49,0,14,0
1165,3,0,0,5,17,0
1166,2,1,68.99,3,18,0
1167,3,2,72.49,7,18,0
1168,3,4,50.99,4,8,1
1169,3,1,67.49,4,13,0
1170,2,1,55.49,1,8,0
1171,3,4,54.99,5,21,1
1172,3,2,50.99,4,12,0
1173,3,0,0,4,13,0
1174,4,0,0,0,11,1
1175,1,0,0,3,13,0
1176,2,0,0,0,20,1
1177,3,0,0,5,12,1
1178,1,3,135.98,2,24,0
1179,3,2,51.49,5,16,1
1180,3,0,0,2,19,0
1181,1,0,0,3,12,0
1182,3,3,60.99,6,6,1
1183,3,2,70.49,7,23,1
1184,1,0,0,5,1,1
1185,1,4,212.97,0,17,0
1186,2,1,136.98,5,20,0
1187,2,0,0,7,11,1
1188,1,3,67.99,5,4,0
1189,1,6,58.49,0,24,1
1190,1,10,194.97,4,9,1
1191,4,0,0,3,25,1
1192,1,1,69.49,2,8,1
1193,2,10,138.98,2,21,0
1194,3,2,212.97,5,2,0
1195,1,0,0,1,3,0
1196,1,1,118.98,4,11,0
1197,1,3,100.98,5,15,0
1198,3,4,67.99,3,15,0
1199,1,2,107.98,5,3,0
1200,2,12,48.49,7,4,1
1201,1,1,117.98,4,18,0
1202,1,2,61.99,5,23,1
1203,2,2,166.98,0,6,1
1204,2,5,261.96,2,15,0
1205,2,11,68.99,5,3,0
1206,3,0,0,0,15,0
1207,3,0,0,4,31,1
1208,1,2,167.97,1,14,0
1209,1,1,193.47,2,4,1
1210,3,0,0,6,25,0
1211,3,5,66.49,5,5,0
1212,3,1,48.99,4,17,0
1213,3,0,0,0,21,0
1214,2,8,54.99,7,23,0
1215,1,5,113.98,6,6,0
1216,3,3,188.97,0,17,0
1217,3,0,0,4,4,0
1218,1,0,0,6,19,0
1219,2,11,69.49,5,12,1
1220,3,3,138.98,7,27,0
1221,1,0,0,5,11,1
1222,1,4,50.99,2,9,0
1223,2,1,55.99,5,14,0
1224,2,0,0,4,10,0
1225,2,1,45.49,0,17,0
1226,1,3,51.99,1,6,0
1227,2,0,0,7,27,1
1228,3,0,0,5,18,0
1229,3,9,60.49,0,15,1
1230,3,0,0,7,6,0
1231,1,3,85.99,3,20,0
1232,1,0,0,6,21,0
1233,1,0,0,6,20,1
1234,1,1,65.49,1,6,1
1235,2,1,65.99,6,13,0
1236,1,0,0,4,23,0
1237,3,4,139.98,5,20,0
1238,3,2,66.49,6,17,0
1239,2,4,55.99,3,6,0
1240,1,1,73.49,3,7,1
1241,2,0,0,4,14,0
1242,3,1,149.97,0,18,1
1243,5,2,59.99,5,25,0
1244,3,8,57.99,0,6,0
1245,1,0,0,2,25,0
1246,1,0,0,3,4,0
1247,3,1,56.99,2,11,0
1248,2,5,69.99,5,21,0
1249,2,0,0,6,11,0
1250,1,5,105.98,1,21,0
1251,1,3,59.49,5,13,1
1252,1,0,0,0,21,0
1253,2,2,70.49,6,19,0
1254,1,0,0,2,13,0
1255,1,0,0,5,1,1
1256,1,2,67.99,4,10,0
1257,3,0,0,5,6,0
1258,3,0,0,5,17,0
1259,2,3,212.97,0,10,1
1260,1,0,0,7,11,0
1261,2,1,133.47,1,23,1
1262,3,6,56.99,7,20,0
1263,2,0,0,3,8,0
1264,3,2,77.99,6,7,1
1265,1,0,0,2,2,1
1266,4,0,0,4,14,1
1267,5,1,65.49,4,21,0
1268,1,2,239.96,5,18,1
1269,1,5,65.99,0,15,0
1270,1,2,55.99,0,20,0
1271,3,2,96.98,4,18,0
1272,3,1,48.49,0,9,1
1273,3,0,0,4,20,1
1274,1,1,101.98,7,9,0
1275,3,5,61.99,0,6,0
1276,3,0,0,4,24,0
1277,2,2,59.99,4,10,0
1278,4,4,58.99,5,27,1
1279,3,3,66.99,4,14,1
1280,1,3,79.49,2,16,0
1281,1,3,231.96,6,1,1
1282,1,5,63.99,6,11,0
1283,2,0,0,1,15,0
1284,2,3,55.49,5,10,0
1285,3,2,67.99,0,16,0
1286,3,0,0,0,9,0
1287,3,3,61.99,4,3,0
1288,1,3,63.99,5,19,1
1289,3,1,52.99,1,19,0
1290,1,1,197.97,4,3,0
1291,1,7,63.99,4,1,1
1292,3,5,63.49,2,13,0
1293,3,0,0,4,11,0
1294,1,1,57.99,4,4,0
1295,2,0,0,4,1,0
1296,2,4,71.99,1,10,0
1297,3,2,50.99,4,16,0
1298,1,0,0,1,27,0
1299,1,3,33.99,4,13,1
1300,4,3,72.99,5,12,1
1301,1,1,69.99,2,10,0
1302,3,4,107.98,5,2,0
1303,1,0,0,0,2,0
1304,2,0,0,2,8,0
1305,1,0,0,2,13,0
1306,3,4,53.99,2,13,1
1307,2,3,43.49,0,6,0
1308,3,4,36.49,7,18,0
1309,1,3,203.97,1,22,0
1310,3,0,0,4,27,0
1311,4,5,52.99,0,8,1
1312,2,1,54.49,1,1,1
1313,3,2,55.99,0,20,0
1314,2,1,54.49,6,3,0
1315,2,2,51.49,6,8,0
1316,1,1,62.99,3,17,1
1317,2,1,86.99,0,17,0
1318,1,3,125.98,4,16,0
1319,3,2,65.49,1,25,0
1320,4,8,125.98,6,25,0
1321,1,0,0,7,15,0
1322,3,2,137.98,2,9,0
1323,3,2,185.97,3,26,1
1324,4,4,60.99,0,1,1
1325,3,0,0,4,15,0
1326,4,0,0,1,14,0
1327,3,3,48.99,1,14,0
1328,3,2,120.98,5,18,1
1329,1,1,200.97,3,16,0
1330,3,0,0,1,15,0
1331,2,3,145.98,7,7,0
1332,3,0,0,6,14,0
1333,3,3,69.99,6,16,1
1334,1,0,0,2,3,1
1335,3,1,49.49,6,16,0
1336,1,5,173.97,7,14,1
1337,1,6,124.98,1,3,0
1338,1,1,54.49,7,16,0
1339,1,1,64.49,6,21,1
1340,4,0,0,0,21,0
1341,3,0,0,2,14,0
1342,4,0,0,7,7,1
1343,3,0,0,2,14,0
1344,3,0,0,6,18,0
1345,1,3,56.49,7,23,0
1346,1,1,56.99,4,14,0
1347,3,1,59.99,4,3,1
1348,3,0,0,4,16,1
1349,1,0,0,0,1,0
1350,3,0,0,3,7,1
1351,2,0,0,4,16,0
1352,2,0,0,1,13,1
1353,1,2,47.49,7,10,0
1354,3,3,51.49,2,2,0
1355,1,2,54.99,2,12,0
1356,1,6,56.99,1,21,0
1357,2,1,47.49,0,13,1
1358,1,1,123.98,2,15,0
1359,1,2,51.99,0,19,0
1360,1,1,65.99,1,18,0
1361,1,0,0,2,2,0
1362,3,2,190.47,6,18,0
1363,2,1,155.98,2,14,0
1364,1,1,147.98,3,2,0
1365,1,1,109.98,2,13,1
1366,1,1,47.99,6,19,0
1367,1,0,0,5,13,1
1368,3,4,64.99,3,1,0
1369,1,6,125.98,6,3,0
1370,3,1,53.49,5,13,0
1371,2,6,42.99,5,18,0
1372,1,7,95.98,0,12,0
1373,2,3,67.99,1,12,0
1374,1,2,66.49,0,16,0
1375,1,1,40.99,7,10,1
1376,2,0,0,3,1,0
1377,2,9,62.99,6,10,1
1378,1,0,0,4,17,1
1379,1,1,62.99,2,15,0
1380,2,1,79.49,6,14,1
1381,1,6,125.98,4,12,0
1382,1,4,55.99,1,16,0
1383,1,0,0,6,20,0
1384,1,0,0,4,14,1
1385,2,1,68.99,1,23,0
1386,3,1,128.98,3,3,1
1387,1,2,193.47,7,21,0
1388,1,1,54.99,1,4,0
1389,3,1,158.97,0,1,1
1390,3,0,0,6,8,0
1391,1,2,133.98,6,4,0
1392,3,1,50.49,0,13,0
1393,3,2,59.99,1,30,0
1394,3,0,0,3,7,0
1395,3,3,57.99,1,13,0
1396,4,3,56.99,1,12,0
1397,3,1,66.49,0,13,0
1398,3,1,109.98,4,15,0
1399,1,2,129.98,2,17,0
1400,4,0,0,5,19,0
1401,3,0,0,6,16,1
1402,2,4,131.98,0,19,0
1403,1,0,0,1,4,1
1404,1,1,135.98,2,5,0
1405,1,2,155.98,3,1,0
1406,3,0,0,0,21,1
1407,1,0,0,4,11,0
1408,2,0,0,0,21,1
1409,2,2,61.49,5,20,0
1410,4,7,66.49,7,13,0
1411,2,8,169.47,2,2,0
1412,3,5,291.96,2,21,0
1413,2,2,133.98,1,17,0
1414,1,2,95.98,6,7,1
1415,1,1,71.49,0,12,0
1416,3,0,0,6,16,0
1417,1,2,50.49,2,24,1
1418,3,0,0,0,21,0
1419,3,3,71.99,6,2,0
1420,3,1,115.98,6,17,1
1421,3,2,50.99,7,1,1
1422,3,7,56.99,1,24,0
1423,5,2,161.97,5,26,1
1424,5,2,56.99,5,1,0
1425,1,2,58.99,2,3,0
1426,1,1,64.99,3,11,0
1427,1,4,137.98,6,5,0
1428,4,4,53.99,6,19,1
1429,4,0,0,7,25,0
1430,1,12,66.99,3,3,0
1431,1,0,0,5,25,0
1432,5,1,176.97,1,14,0
1433,1,4,230.97,1,15,0
1434,2,1,49.99,2,7,1
1435,2,4,163.98,1,17,0
1436,1,1,63.99,0,21,1
1437,2,2,58.99,0,12,1
1438,1,2,56.99,2,20,1
1439,2,0,0,3,11,1
1440,1,1,57.99,0,11,0
1441,3,0,0,0,20,0
1442,1,0,0,0,14,0
1443,3,1,119.98,5,1,0
1444,5,3,70.99,2,21,0
1445,1,0,0,4,10,0
1446,1,13,57.99,2,13,0
1447,2,0,0,0,19,0
1448,3,0,0,3,18,0
1449,3,4,139.98,3,24,0
1450,1,2,56.99,1,19,0
1451,1,2,271.96,6,5,0
1452,2,0,0,5,16,0
1453,1,1,54.99,7,23,0
1454,2,1,72.49,7,18,1
1455,3,0,0,0,24,0
1456,2,9,59.99,5,13,1
1457,1,11,61.49,1,12,1
1458,3,0,0,7,16,0
1459,2,1,54.99,7,14,1
1460,3,1,56.99,4,2,1
1461,2,1,55.99,0,10,0
1462,3,0,0,0,15,0
1463,1,4,73.99,0,12,1
1464,1,1,127.98,7,16,0
1465,2,2,151.98,0,11,0
1466,1,7,111.98,1,25,0
1467,1,2,53.99,1,2,0
1468,3,2,60.99,5,17,0
1469,3,7,60.49,6,14,0
1470,2,0,0,6,12,0
1471,1,2,71.99,4,1,0
1472,1,3,51.49,1,15,0
1473,2,0,0,6,16,0
1474,1,0,0,3,3,0
1475,3,0,0,2,20,1
1476,3,5,150.98,1,4,0
1477,1,7,69.99,3,11,1
1478,1,2,54.99,0,15,1
1479,1,0,0,5,2,0
1480,2,7,146.97,0,2,1
1481,3,2,64.99,5,16,0
1482,1,12,75.99,5,17,1
1483,4,5,75.99,4,16,0
1484,1,0,0,4,6,1
1485,1,0,0,0,16,0
1486,1,1,47.49,1,19,0
1487,2,2,66.99,6,17,0
1488,1,4,51.99,4,19,0
1489,3,2,73.99,6,10,1
1490,3,0,0,1,9,0
1491,2,2,58.99,5,14,0
1492,4,0,0,0,12,0
1493,2,1,78.99,0,8,1
1494,3,0,0,0,25,1
1495,3,3,145.98,2,14,1
1496,1,0,0,6,11,0
1497,3,1,64.49,2,24,0
1498,1,1,73.99,3,13,0
1499,3,0,0,1,5,0
1500,3,3,54.49,0,10,0
1501,1,4,58.99,5,3,1
1502,2,3,45.99,4,11,1
1503,2,2,130.98,2,22,0
1504,2,3,57.99,0,22,0
1505,1,1,68.99,1,19,0
1506,1,1,130.98,3,18,0
1507,1,4,51.99,4,5,0
1508,1,0,0,1,16,0
1509,1,1,66.99,0,8,0
1510,1,2,54.99,5,28,0
1511,4,3,58.99,1,13,0
1512,2,3,43.99,2,16,0
1513,2,0,0,1,17,0
1514,3,0,0,2,16,0
1515,3,1,53.99,0,20,0
1516,1,5,111.98,5,2,1
1517,4,0,0,1,4,1
1518,1,2,113.98,7,2,0
1519,1,1,63.99,3,12,0
1520,1,1,71.99,5,14,0
1521,1,0,0,5,12,0
1522,3,11,66.99,6,24,0
1523,1,5,69.99,3,10,0
1524,1,1,60.99,6,10,1
1525,4,0,0,5,28,0
1526,1,3,115.98,4,7,0
1527,1,0,0,6,24,0
1528,4,4,67.49,5,10,0
1529,3,3,230.97,5,19,0
1530,3,0,0,0,22,0
1531,3,0,0,6,11,0
1532,1,3,64.99,3,24,0
1533,5,4,54.99,7,6,0
1534,3,8,62.49,1,12,0
1535,2,0,0,6,6,0
1536,4,3,139.98,1,7,1
1537,2,1,60.49,4,4,0
1538,1,5,66.99,2,19,0
1539,2,0,0,4,21,0
1540,1,2,58.99,5,3,1
1541,1,1,60.99,5,4,0
1542,4,0,0,1,17,0
1543,3,0,0,6,6,0
1544,2,0,0,2,21,1
1545,1,2,73.49,6,8,1
1546,2,1,54.99,1,12,0
1547,3,0,0,2,8,0
1548,5,0,0,7,13,0
1549,1,0,0,1,12,0
1550,2,1,66.99,1,14,0
1551,1,1,57.99,0,21,0
1552,1,0,0,6,19,0
1553,3,0,0,6,12,0
1554,1,1,164.97,5,23,0
1555,3,0,0,5,19,0
1556,3,1,62.99,0,15,0
1557,1,0,0,4,2,1
1558,1,1,63.99,7,14,1
1559,1,0,0,3,1,0
1560,2,0,0,4,1,0
1561,1,0,0,0,3,1
1562,3,0,0,6,12,0
1563,1,0,0,2,25,0
1564,2,0,0,2,8,1
1565,3,1,55.99,5,22,0
1566,5,0,0,4,5,0
1567,4,3,139.98,2,18,0
1568,2,0,0,4,8,1
1569,1,2,135.98,5,12,1
1570,1,0,0,1,13,1
1571,1,1,45.99,4,6,1
1572,4,3,72.49,5,1,0
1573,1,2,51.49,7,16,0
1574,3,2,65.49,3,7,1
1575,2,1,58.49,3,12,0
1576,3,3,62.49,2,19,0
1577,2,1,113.98,4,10,1
1578,3,5,45.49,1,17,0
1579,3,1,200.97,3,14,0
1580,1,3,51.99,7,16,0
1581,3,0,0,5,25,1
1582,1,0,0,5,8,0
1583,3,1,58.49,5,16,0
1584,3,3,70.99,3,7,0
1585,3,5,121.98,1,11,0
1586,3,4,60.99,5,19,0
1587,3,0,0,1,20,0
1588,3,0,0,3,21,0
1589,3,3,48.99,1,24,0
1590,2,0,0,0,21,1
1591,1,0,0,0,21,0
1592,2,0,0,2,18,0
1593,1,3,57.99,1,12,0
1594,1,4,263.97,4,17,0
1595,3,0,0,5,16,0
1596,3,2,29.99,4,12,0
1597,4,1,152.97,6,21,0
1598,2,1,111.98,3,1,1
1599,1,0,0,3,19,0
1600,2,4,56.49,4,4,1
1601,1,5,66.49,6,21,0
1602,3,0,0,6,15,1
1603,2,2,215.97,0,20,0
1604,2,0,0,0,19,0
1605,5,3,114.98,6,11,0
1606,2,0,0,2,16,0
1607,3,0,0,6,21,0
1608,1,0,0,7,15,0
1609,1,5,79.98,2,3,1
1610,3,1,218.97,4,19,0
1611,1,7,113.98,4,12,0
1612,1,3,54.99,6,6,1
1613,3,2,73.49,0,20,0
1614,3,0,0,4,22,0
1615,5,0,0,1,22,1
1616,2,0,0,4,7,1
1617,3,1,212.97,5,15,0
1618,1,0,0,4,26,0
1619,1,0,0,7,12,1
1620,2,2,76.49,6,5,0
1621,1,5,60.99,4,15,0
1622,3,9,61.99,1,23,0
1623,1,0,0,2,5,1
1624,1,0,0,5,14,0
1625,1,2,45.99,3,2,0
1626,1,1,200.97,4,25,1
1627,1,3,58.99,4,16,1
1628,1,1,113.98,1,4,1
1629,5,2,119.98,0,1,0
1630,1,1,64.99,2,12,1
1631,1,1,62.99,3,11,1
1632,3,3,68.99,1,16,0
1633,1,0,0,2,22,1
1634,1,0,0,3,25,1
1635,2,0,0,1,14,0
1636,4,0,0,4,12,0
1637,1,5,125.98,6,25,0
1638,3,0,0,4,23,0
1639,1,4,57.49,0,21,0
1640,3,2,59.99,1,24,0
1641,1,3,62.99,5,20,0
1642,2,6,51.49,0,13,0
1643,2,2,52.99,0,15,1
1644,1,4,54.99,7,13,0
1645,1,5,103.98,0,13,0
1646,1,6,63.99,0,14,0
1647,3,8,64.49,1,19,0
1648,3,1,57.99,6,14,0
1649,1,0,0,0,8,1
1650,1,5,63.49,5,4,1
1651,3,4,65.99,4,15,1
1652,2,1,80.99,2,16,1
1653,2,0,0,0,18,1
1654,3,1,60.99,7,13,1
1655,2,1,64.49,7,20,0
1656,1,3,55.99,3,16,0
1657,3,2,73.99,7,22,0
1658,1,1,53.99,3,26,0
1659,1,6,40.49,6,13,0
1660,1,0,0,0,26,0
1661,1,0,0,0,21,0
1662,3,0,0,6,15,0
1663,5,1,60.99,6,9,0
1664,4,4,101.98,5,14,1
1665,1,2,51.99,1,19,0
1666,1,1,104.98,5,18,0
1667,2,2,59.99,3,13,1
1668,2,2,54.49,5,19,0
1669,1,0,0,4,18,0
1670,4,0,0,2,5,0
1671,1,2,53.99,4,7,1
1672,2,0,0,5,5,1
1673,1,3,60.99,6,2,0
1674,3,0,0,1,13,0
1675,1,2,55.99,6,17,0
1676,3,1,75.99,1,17,0
1677,1,0,0,4,1,0
1678,1,2,45.99,4,1,0
1679,2,5,54.99,7,16,0
1680,1,2,110.98,5,3,1
1681,1,1,65.99,0,1,0
1682,1,0,0,2,5,1
1683,3,0,0,2,16,1
1684,3,0,0,3,20,1
1685,1,2,76.49,5,14,1
1686,1,0,0,4,14,0
1687,2,1,60.49,1,7,0
1688,1,3,56.99,1,15,1
1689,1,4,48.99,1,2,0
1690,2,8,97.98,0,22,0
1691,1,2,76.99,1,33,0
1692,4,1,75.99,3,13,1
1693,2,3,54.99,1,21,0
1694,2,6,65.99,7,24,0
1695,2,1,176.97,0,2,1
1696,2,0,0,4,14,1
1697,3,1,123.98,5,1,0
1698,3,0,0,3,15,0
1699,3,6,64.49,6,18,0
1700,3,5,61.99,5,14,0
1701,2,1,41.99,1,7,1
1702,2,2,58.99,5,15,0
1703,2,0,0,5,7,1
1704,3,0,0,4,18,1
1705,4,3,50.99,0,14,0
1706,2,1,190.47,1,18,1
1707,4,2,58.99,1,16,0
1708,3,2,111.98,3,17,0
1709,1,7,74.99,6,2,0
1710,3,1,68.99,4,5,1
1711,1,4,56.99,4,16,1
1712,1,0,0,7,17,0
1713,4,0,0,5,7,0
1714,3,0,0,0,2,1
1715,1,1,52.99,4,10,0
1716,1,4,55.99,6,17,1
1717,5,2,68.99,1,8,0
1718,3,0,0,4,22,0
1719,2,2,56.99,0,11,0
1720,3,6,143.98,0,22,0
1721,2,5,57.99,0,6,1
1722,1,2,137.98,5,24,0
1723,2,4,70.49,6,5,0
1724,2,2,83.99,1,22,0
1725,2,3,129.98,4,1,0
1726,1,7,72.99,0,17,1
1727,2,2,62.99,6,1,0
1728,3,2,50.49,6,21,0
1729,1,7,58.99,1,4,1
1730,2,2,44.49,4,10,1
1731,4,0,0,0,15,0
1732,1,2,148.47,5,11,0
1733,2,2,82.99,7,14,1
1734,2,2,115.98,3,20,0
1735,3,1,78.49,0,23,1
1736,3,0,0,5,15,0
1737,1,3,143.98,5,10,1
1738,2,2,130.98,4,18,0
1739,1,0,0,1,15,1
1740,2,0,0,5,3,1
1741,2,1,58.99,1,21,0
1742,2,0,0,4,17,0
1743,1,0,0,5,13,1
1744,2,2,66.99,2,11,0
1745,2,1,121.98,0,19,1
1746,3,0,0,5,5,1
1747,2,9,55.99,0,17,0
1748,1,9,59.99,7,11,0
1749,1,4,61.99,5,3,1
1750,1,2,53.49,0,21,0
1751,3,0,0,1,13,0
1752,3,4,66.99,4,14,0
1753,2,0,0,1,6,0
1754,3,3,61.99,0,30,0
1755,3,3,60.99,0,2,0
1756,2,1,63.99,3,17,0
1757,1,6,61.99,4,1,0
1758,3,0,0,4,9,0
1759,1,2,44.99,5,18,0
1760,1,0,0,0,12,1
1761,1,0,0,7,13,0
1762,3,9,124.98,0,27,1
1763,3,0,0,6,1,1
1764,3,0,0,2,23,0
1765,1,5,42.49,5,4,1
1766,1,0,0,0,1,1
1767,3,6,51.99,0,22,1
